"StateFIPS","State","CensusTract","Census Tract","Start Year","End Year","Value","Data Comment",
"24","Maryland","24001000100","Allegany County, MD - 24001000100","2016","2020","22.5%","",
"24","Maryland","24001000200","Allegany County, MD - 24001000200","2016","2020","27.3%","",
"24","Maryland","24001000500","Allegany County, MD - 24001000500","2016","2020","29.3%","",
"24","Maryland","24001000600","Allegany County, MD - 24001000600","2016","2020","18.7%","",
"24","Maryland","24001000700","Allegany County, MD - 24001000700","2016","2020","16.4%","",
"24","Maryland","24001000800","Allegany County, MD - 24001000800","2016","2020","17.8%","",
"24","Maryland","24001001000","Allegany County, MD - 24001001000","2016","2020","31.9%","",
"24","Maryland","24001001100","Allegany County, MD - 24001001100","2016","2020","12.3%","",
"24","Maryland","24001001200","Allegany County, MD - 24001001200","2016","2020","6.9%","",
"24","Maryland","24001001300","Allegany County, MD - 24001001300","2016","2020","12.5%","",
"24","Maryland","24001001401","Allegany County, MD - 24001001401","2016","2020","9.6%","",
"24","Maryland","24001001402","Allegany County, MD - 24001001402","2016","2020","10.9%","",
"24","Maryland","24001001502","Allegany County, MD - 24001001502","2016","2020","25.1%","",
"24","Maryland","24001001503","Allegany County, MD - 24001001503","2016","2020","25.9%","",
"24","Maryland","24001001600","Allegany County, MD - 24001001600","2016","2020","11.5%","",
"24","Maryland","24001001700","Allegany County, MD - 24001001700","2016","2020","15.0%","",
"24","Maryland","24001001800","Allegany County, MD - 24001001800","2016","2020","12.7%","",
"24","Maryland","24001001900","Allegany County, MD - 24001001900","2016","2020","19.9%","",
"24","Maryland","24001002000","Allegany County, MD - 24001002000","2016","2020","10.1%","",
"24","Maryland","24001002100","Allegany County, MD - 24001002100","2016","2020","18.8%","",
"24","Maryland","24001002200","Allegany County, MD - 24001002200","2016","2020","21.4%","",
"24","Maryland","24001002300","Allegany County, MD - 24001002300","2016","2020","16.6%","",
"24","Maryland","24003701101","Anne Arundel County, MD - 24003701101","2016","2020","5.3%","",
"24","Maryland","24003701103","Anne Arundel County, MD - 24003701103","2016","2020","3.6%","",
"24","Maryland","24003701104","Anne Arundel County, MD - 24003701104","2016","2020","2.2%","",
"24","Maryland","24003701201","Anne Arundel County, MD - 24003701201","2016","2020","1.1%","",
"24","Maryland","24003701202","Anne Arundel County, MD - 24003701202","2016","2020","4.5%","",
"24","Maryland","24003701301","Anne Arundel County, MD - 24003701301","2016","2020","4.7%","",
"24","Maryland","24003701302","Anne Arundel County, MD - 24003701302","2016","2020","6.8%","",
"24","Maryland","24003701400","Anne Arundel County, MD - 24003701400","2016","2020","6.6%","",
"24","Maryland","24003702100","Anne Arundel County, MD - 24003702100","2016","2020","4.3%","",
"24","Maryland","24003702204","Anne Arundel County, MD - 24003702204","2016","2020","2.3%","",
"24","Maryland","24003702205","Anne Arundel County, MD - 24003702205","2016","2020","1.7%","",
"24","Maryland","24003702206","Anne Arundel County, MD - 24003702206","2016","2020","1.2%","",
"24","Maryland","24003702208","Anne Arundel County, MD - 24003702208","2016","2020","0.4%","",
"24","Maryland","24003702209","Anne Arundel County, MD - 24003702209","2016","2020","1.0%","",
"24","Maryland","24003702300","Anne Arundel County, MD - 24003702300","2016","2020","4.9%","",
"24","Maryland","24003702402","Anne Arundel County, MD - 24003702402","2016","2020","5.9%","",
"24","Maryland","24003702500","Anne Arundel County, MD - 24003702500","2016","2020","9.5%","",
"24","Maryland","24003702601","Anne Arundel County, MD - 24003702601","2016","2020","0.9%","",
"24","Maryland","24003702602","Anne Arundel County, MD - 24003702602","2016","2020","2.7%","",
"24","Maryland","24003702702","Anne Arundel County, MD - 24003702702","2016","2020","3.1%","",
"24","Maryland","24003702703","Anne Arundel County, MD - 24003702703","2016","2020","1.9%","",
"24","Maryland","24003702704","Anne Arundel County, MD - 24003702704","2016","2020","2.5%","",
"24","Maryland","24003706102","Anne Arundel County, MD - 24003706102","2016","2020","17.8%","",
"24","Maryland","24003706103","Anne Arundel County, MD - 24003706103","2016","2020","1.4%","",
"24","Maryland","24003706302","Anne Arundel County, MD - 24003706302","2016","2020","4.4%","",
"24","Maryland","24003706303","Anne Arundel County, MD - 24003706303","2016","2020","10.9%","",
"24","Maryland","24003706304","Anne Arundel County, MD - 24003706304","2016","2020","3.3%","",
"24","Maryland","24003706402","Anne Arundel County, MD - 24003706402","2016","2020","14.1%","",
"24","Maryland","24003706403","Anne Arundel County, MD - 24003706403","2016","2020","9.0%","",
"24","Maryland","24003706404","Anne Arundel County, MD - 24003706404","2016","2020","0.9%","",
"24","Maryland","24003706500","Anne Arundel County, MD - 24003706500","2016","2020","7.6%","",
"24","Maryland","24003706600","Anne Arundel County, MD - 24003706600","2016","2020","7.7%","",
"24","Maryland","24003706700","Anne Arundel County, MD - 24003706700","2016","2020","5.2%","",
"24","Maryland","24003707001","Anne Arundel County, MD - 24003707001","2016","2020","2.9%","",
"24","Maryland","24003707002","Anne Arundel County, MD - 24003707002","2016","2020","8.3%","",
"24","Maryland","24003708001","Anne Arundel County, MD - 24003708001","2016","2020","6.2%","",
"24","Maryland","24003708004","Anne Arundel County, MD - 24003708004","2016","2020","14.0%","",
"24","Maryland","24003730101","Anne Arundel County, MD - 24003730101","2016","2020","2.5%","",
"24","Maryland","24003730102","Anne Arundel County, MD - 24003730102","2016","2020","2.2%","",
"24","Maryland","24003730204","Anne Arundel County, MD - 24003730204","2016","2020","3.6%","",
"24","Maryland","24003730205","Anne Arundel County, MD - 24003730205","2016","2020","10.8%","",
"24","Maryland","24003730206","Anne Arundel County, MD - 24003730206","2016","2020","15.1%","",
"24","Maryland","24003730300","Anne Arundel County, MD - 24003730300","2016","2020","8.4%","",
"24","Maryland","24003730401","Anne Arundel County, MD - 24003730401","2016","2020","12.7%","",
"24","Maryland","24003730403","Anne Arundel County, MD - 24003730403","2016","2020","6.1%","",
"24","Maryland","24003730404","Anne Arundel County, MD - 24003730404","2016","2020","12.0%","",
"24","Maryland","24003730507","Anne Arundel County, MD - 24003730507","2016","2020","3.9%","",
"24","Maryland","24003730508","Anne Arundel County, MD - 24003730508","2016","2020","6.5%","",
"24","Maryland","24003730509","Anne Arundel County, MD - 24003730509","2016","2020","4.8%","",
"24","Maryland","24003730510","Anne Arundel County, MD - 24003730510","2016","2020","5.8%","",
"24","Maryland","24003730511","Anne Arundel County, MD - 24003730511","2016","2020","14.1%","",
"24","Maryland","24003730512","Anne Arundel County, MD - 24003730512","2016","2020","7.5%","",
"24","Maryland","24003730513","Anne Arundel County, MD - 24003730513","2016","2020","4.8%","",
"24","Maryland","24003730514","Anne Arundel County, MD - 24003730514","2016","2020","11.0%","",
"24","Maryland","24003730601","Anne Arundel County, MD - 24003730601","2016","2020","2.9%","",
"24","Maryland","24003730603","Anne Arundel County, MD - 24003730603","2016","2020","7.8%","",
"24","Maryland","24003730605","Anne Arundel County, MD - 24003730605","2016","2020","6.6%","",
"24","Maryland","24003730606","Anne Arundel County, MD - 24003730606","2016","2020","3.6%","",
"24","Maryland","24003730701","Anne Arundel County, MD - 24003730701","2016","2020","2.8%","",
"24","Maryland","24003730702","Anne Arundel County, MD - 24003730702","2016","2020","3.8%","",
"24","Maryland","24003730800","Anne Arundel County, MD - 24003730800","2016","2020","4.1%","",
"24","Maryland","24003730901","Anne Arundel County, MD - 24003730901","2016","2020","0.0%","",
"24","Maryland","24003730902","Anne Arundel County, MD - 24003730902","2016","2020","0.0%","",
"24","Maryland","24003731002","Anne Arundel County, MD - 24003731002","2016","2020","2.8%","",
"24","Maryland","24003731003","Anne Arundel County, MD - 24003731003","2016","2020","4.7%","",
"24","Maryland","24003731004","Anne Arundel County, MD - 24003731004","2016","2020","1.9%","",
"24","Maryland","24003731103","Anne Arundel County, MD - 24003731103","2016","2020","0.4%","",
"24","Maryland","24003731104","Anne Arundel County, MD - 24003731104","2016","2020","2.0%","",
"24","Maryland","24003731105","Anne Arundel County, MD - 24003731105","2016","2020","3.2%","",
"24","Maryland","24003731106","Anne Arundel County, MD - 24003731106","2016","2020","3.0%","",
"24","Maryland","24003731107","Anne Arundel County, MD - 24003731107","2016","2020","3.4%","",
"24","Maryland","24003731201","Anne Arundel County, MD - 24003731201","2016","2020","0.9%","",
"24","Maryland","24003731205","Anne Arundel County, MD - 24003731205","2016","2020","8.1%","",
"24","Maryland","24003731206","Anne Arundel County, MD - 24003731206","2016","2020","4.3%","",
"24","Maryland","24003731207","Anne Arundel County, MD - 24003731207","2016","2020","1.3%","",
"24","Maryland","24003731208","Anne Arundel County, MD - 24003731208","2016","2020","8.8%","",
"24","Maryland","24003731209","Anne Arundel County, MD - 24003731209","2016","2020","6.8%","",
"24","Maryland","24003731210","Anne Arundel County, MD - 24003731210","2016","2020","16.3%","",
"24","Maryland","24003731303","Anne Arundel County, MD - 24003731303","2016","2020","4.5%","",
"24","Maryland","24003731306","Anne Arundel County, MD - 24003731306","2016","2020","3.0%","",
"24","Maryland","24003731307","Anne Arundel County, MD - 24003731307","2016","2020","6.7%","",
"24","Maryland","24003731308","Anne Arundel County, MD - 24003731308","2016","2020","11.1%","",
"24","Maryland","24003731309","Anne Arundel County, MD - 24003731309","2016","2020","5.5%","",
"24","Maryland","24003731310","Anne Arundel County, MD - 24003731310","2016","2020","3.2%","",
"24","Maryland","24003731312","Anne Arundel County, MD - 24003731312","2016","2020","7.4%","",
"24","Maryland","24003731313","Anne Arundel County, MD - 24003731313","2016","2020","1.0%","",
"24","Maryland","24003740103","Anne Arundel County, MD - 24003740103","2016","2020","1.0%","",
"24","Maryland","24003740104","Anne Arundel County, MD - 24003740104","2016","2020","0.7%","",
"24","Maryland","24003740105","Anne Arundel County, MD - 24003740105","2016","2020","3.1%","",
"24","Maryland","24003740106","Anne Arundel County, MD - 24003740106","2016","2020","6.0%","",
"24","Maryland","24003740107","Anne Arundel County, MD - 24003740107","2016","2020","0.0%","",
"24","Maryland","24003740108","Anne Arundel County, MD - 24003740108","2016","2020","0.0%","",
"24","Maryland","24003740203","Anne Arundel County, MD - 24003740203","2016","2020","6.6%","",
"24","Maryland","24003740204","Anne Arundel County, MD - 24003740204","2016","2020","3.5%","",
"24","Maryland","24003740205","Anne Arundel County, MD - 24003740205","2016","2020","12.0%","",
"24","Maryland","24003740303","Anne Arundel County, MD - 24003740303","2016","2020","4.6%","",
"24","Maryland","24003740304","Anne Arundel County, MD - 24003740304","2016","2020","10.9%","",
"24","Maryland","24003740305","Anne Arundel County, MD - 24003740305","2016","2020","1.0%","",
"24","Maryland","24003740400","Anne Arundel County, MD - 24003740400","2016","2020","0.0%","",
"24","Maryland","24003740501","Anne Arundel County, MD - 24003740501","2016","2020","3.6%","",
"24","Maryland","24003740502","Anne Arundel County, MD - 24003740502","2016","2020","0.6%","",
"24","Maryland","24003740601","Anne Arundel County, MD - 24003740601","2016","2020","0.0%","",
"24","Maryland","24003740602","Anne Arundel County, MD - 24003740602","2016","2020","0.7%","",
"24","Maryland","24003740603","Anne Arundel County, MD - 24003740603","2016","2020","3.8%","",
"24","Maryland","24003740701","Anne Arundel County, MD - 24003740701","2016","2020","3.7%","",
"24","Maryland","24003740703","Anne Arundel County, MD - 24003740703","2016","2020","1.5%","",
"24","Maryland","24003740704","Anne Arundel County, MD - 24003740704","2016","2020","1.8%","",
"24","Maryland","24003740800","Anne Arundel County, MD - 24003740800","2016","2020","7.5%","",
"24","Maryland","24003740900","Anne Arundel County, MD - 24003740900","2016","2020","8.1%","",
"24","Maryland","24003741000","Anne Arundel County, MD - 24003741000","2016","2020","5.5%","",
"24","Maryland","24003750101","Anne Arundel County, MD - 24003750101","2016","2020","13.5%","",
"24","Maryland","24003750102","Anne Arundel County, MD - 24003750102","2016","2020","20.9%","",
"24","Maryland","24003750201","Anne Arundel County, MD - 24003750201","2016","2020","21.3%","",
"24","Maryland","24003750204","Anne Arundel County, MD - 24003750204","2016","2020","5.9%","",
"24","Maryland","24003750300","Anne Arundel County, MD - 24003750300","2016","2020","6.8%","",
"24","Maryland","24003750400","Anne Arundel County, MD - 24003750400","2016","2020","10.2%","",
"24","Maryland","24003750801","Anne Arundel County, MD - 24003750801","2016","2020","10.1%","",
"24","Maryland","24003750803","Anne Arundel County, MD - 24003750803","2016","2020","10.4%","",
"24","Maryland","24003750804","Anne Arundel County, MD - 24003750804","2016","2020","16.5%","",
"24","Maryland","24003750900","Anne Arundel County, MD - 24003750900","2016","2020","16.9%","",
"24","Maryland","24003751000","Anne Arundel County, MD - 24003751000","2016","2020","9.6%","",
"24","Maryland","24003751102","Anne Arundel County, MD - 24003751102","2016","2020","10.4%","",
"24","Maryland","24003751103","Anne Arundel County, MD - 24003751103","2016","2020","11.4%","",
"24","Maryland","24003751200","Anne Arundel County, MD - 24003751200","2016","2020","4.0%","",
"24","Maryland","24003751400","Anne Arundel County, MD - 24003751400","2016","2020","5.5%","",
"24","Maryland","24003751500","Anne Arundel County, MD - 24003751500","2016","2020","11.4%","",
"24","Maryland","24003751600","Anne Arundel County, MD - 24003751600","2016","2020","9.7%","",
